Season ,Player,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
1983,Turner Gill,94,170,55.3,1516,8.9,9.5,14,4,152.7
1984,Craig Sundberg,53,84,63.1,740,8.8,6.5,4,6,138.5
1984,Travis Turner,37,75,49.3,541,7.2,6.5,4,3,119.5
1985,McCathorn Clayton,28,78,35.9,602,7.7,4.4,3,7,95.5
1986,Steve Taylor,52,124,41.9,808,6.5,4.9,6,7,101.3
1987,Steve Taylor,57,123,46.3,902,7.3,6.2,13,9,128.2
1988,Steve Taylor,72,151,47.7,1067,7.1,6.4,11,7,121.8
1989,Gerry Gdowski,71,136,52.2,1326,9.8,11.9,19,2,177.3
1990,Mickey Joseph,34,78,43.6,624,8,7.4,11,6,141.9
1991,Keithen McCant,97,168,57.7,1454,8.7,8.1,13,8,146.5
1992,Tommie Frazier,44,100,44,727,7.3,8.8,10,1,136.1
1992,Mike Grant,46,92,50,479,5.2,3.8,5,5,100.8
1993,Tommie Frazier,77,162,47.5,1159,7.2,7.5,12,4,127.1
1994,Brook Berringer,94,151,62.3,1295,8.6,8.4,10,5,149.5
1995,Tommie Frazier,92,163,56.4,1362,8.4,9.3,17,4,156.1
1996,Scott Frost,104,200,52,1440,7.2,7.8,13,3,130.9
1997,Scott Frost,88,159,55.3,1237,7.8,7.3,5,4,126
1998,Eric Crouch,49,101,48.5,601,6,5,4,4,103.6
1998,Bobby Newcombe,50,79,63.3,712,9,8.7,1,1,140.6
1999,Eric Crouch,83,160,51.9,1269,7.9,7.7,7,4,127.9
2000,Eric Crouch,75,156,48.1,1101,7.1,6.4,11,7,121.7
2001,Eric Crouch,105,189,55.6,1510,8,6.3,7,10,124.3
2002,Jammal Lord,95,204,46.6,1362,6.7,5.2,12,12,110.3
2003,Jammal Lord,85,176,48.3,1305,7.4,6.1,6,8,112.7
2004,Joe Dailey,153,310,49.4,2025,6.5,4.9,17,19,110.1
2005,Zac Taylor,237,430,55.1,2653,6.2,5.8,19,12,115.9
2006,Zac Taylor,233,391,59.6,3197,8.2,8.6,26,8,146.1
2007,Sam Keller,205,325,63.1,2422,7.5,6.9,14,10,133.7
2007,Joe Ganz,89,152,58.6,1435,9.4,9.5,16,7,163.4
2008,Joe Ganz,285,420,67.9,3568,8.5,8.5,25,11,153.6
2009,Zac Lee,177,302,58.6,2143,7.1,6.5,14,10,126.9
2010,Taylor Martinez,116,196,59.2,1631,8.3,7.7,10,7,138.8
2011,Taylor Martinez,162,288,56.3,2089,7.3,6.9,13,8,126.5
2012,Taylor Martinez,228,368,62,2871,7.8,7.6,23,12,141.6
2013,Ron Kellogg III,80,134,59.7,919,6.9,6.7,6,3,127.6
2013,Tommy Armstrong Jr,68,131,51.9,966,7.4,6,9,8,124.3
2013,Taylor Martinez,69,110,62.7,667,6.1,7.1,10,2,140
2014,Tommy Armstrong Jr,184,345,53.3,2695,7.8,7.5,22,12,133
2015,Tommy Armstrong Jr,222,402,55.2,3030,7.5,6.8,22,16,128.6
2016,Tommy Armstrong Jr,151,294,51.4,2180,7.4,7.1,14,8,123.9
2016,Ryker Fyfe,48,99,48.5,558,5.6,6,4,1,107.1
2017,Tanner Lee,246,428,57.5,3143,7.3,6.7,23,16,129.4
2018,Adrian Martinez,224,347,64.6,2617,7.5,7.5,17,8,139.5
2019,Adrian Martinez,149,251,59.4,1956,7.8,7,10,9,130.8
2020,Adrian Martinez,108,151,71.5,1055,7,6.6,4,3,135
2020,Luke McCaffrey,48,76,63.2,466,6.1,2.8,1,6,103.2
